barcode,barcode_type,gs1_country,product_name,brand,ingredients,e_numbers_found,image_url,country_of_origin,halal_cert_mentions,source_url,source_name,verification_score,confidence,scan_count
8999908284907,EAN13,Indonesia,My baby telon,,obat obatan,[],https://images.openproductsfacts.org/images/products/899/990/828/4907/front_id.3.400.jpg,Indonesia,[],https://world.openproductsfacts.org/api/v2/product/8999908284907.json,OpenProductsFacts,100,,2
4902410112860,EAN13,Japan,Fuji Soft Tailoring 6 pieces,fujipan,,[],https://monolog.r-n-i.jp/2026_07_21_06_37_47/94857-c8c44ecd-785b-42b6-8954-749c5faa049b.jpg?width=600,Japan,[],https://monolog.r-n-i.jp/item/4902410112860,monolog.r-n-i.jp,160,,1
4907174149855,EAN13,Japan,New release of “pudding jelly cup dessert”,,,[],https://mognavi.jp/servlet/ogimage/category/0202/newitem,Japan,[],https://mognavi.jp/pudding/newitem,mognavi.jp,60,,1
4903110094302,EAN13,Japan,,,,[],,Japan,[],https://www.amazon.co.jp/s?k=4903110094302#skippedLink,amazon.co.jp,60,,4
4903110405726,EAN13,Japan,,,"Disclaimer : While we work to ensure that product information is correct, on occasion manufacturers may alter their ingredient lists.  Actual product packaging and materials may contain more and/or different information than that shown on our Web site. We recommend that you do not solely rely on the information presented and that you always read labels, warnings, and directions before using or consuming a product.   For additional information about a product, please contact the manufacturer. Content on this site is for reference purposes and is not intended to substitute for advice given by a physician, pharmacist, or other licensed health-care professional. You should not use this information as self-diagnosis or for treating a health problem or disease.  Contact your health-care provider immediately if you suspect that you have a medical problem. Information and statements regarding dietary supplements have not been evaluated by the Food and Drug Administration and are not intended to diagnose, treat, cure, or prevent any disease or health condition.  Amazon.com assumes no liability for inaccuracies or misstatements about products.",[],,Japan,[],https://www.amazon.co.jp/-/en/Yamazaki-Thin-Crust-Cream-Bread/dp/B0BRQD4TXQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.0L2kkeFTGKLlnwf5syO6XQ.Z2Nev0SuM8e8H02P7ru5CC06jrzMRjqubqP6LotmfeI&amp;dib_tag=se&amp;keywords=4903110405726&amp;qid=1786965833&amp;sr=8-1,amazon.co.jp,60,,3
9318637044306,EAN13,Australia,Cetaphil Moisturising Lotion 237ml,,,[],https://www.davidjonespharmacy.com.au/assets/full/191880.jpg?20230712154219,Australia,[],https://www.davidjonespharmacy.com.au/cetaphil-moisturising-lotion-237ml,davidjonespharmacy.com.au,60,,2
9555812700019,EAN13,Malaysia,9555812700019 - Harga Terbaik & Tawaran | Lazada Malaysia,,,[],,Malaysia,[],https://www.lazada.com.my/catalog/?q=9555812700019,lazada.com.my,60,,4
6224009352432,EAN13,Egypt,دولفين تونه مفتته 200 جرام اكسترا 170 + 30 جرام هديه,دولفين,,[],https://market.hypermousa.com/5630-home_default/dwlfyn-twnh-mftth-200-gram-akstra-170-30-gram-hdyh.jpg,Egypt,[],https://market.hypermousa.com/en/%D8%A7%D8%B3%D9%85%D8%A7%D9%83-%D9%85%D8%B9%D9%84%D8%A8%D9%87/4841-dwlfyn-twnh-mftth-200-gram-akstra-170-30-gram-hdyh.html,market.hypermousa.com,160,,2
8991689668006,EAN13,Indonesia,Data Barcode Produk Tahun 2024 Seri 6,,,"[""E 600G""]",https://endangcahyapermana.wordpress.com/wp-content/uploads/2024/11/jam-smartband-7.png,Indonesia,[],https://endangcahyapermana.wordpress.com/2024/11/06/data-barcode-produk-tahun-2024-seri-6/,endangcahyapermana.wordpress.com,60,,2
3400927946424,EAN13,France,TimoFerol - Iron Anemia - 30 Tablets,TimoFerol,"Therapeutic indications: It is recommended for the treatment of anemia due to a lack of iron in adults and children over 6 years old, and as a preventive treatment for iron deficiency in pregnant women. It comes in the form of tablets, in boxes of 30. Contraindications: Never take TIMOFEROL capsule in the following cases: Iron overload, particularly in certain forms of anemia (thalassemia, refractory anemia, anemia due to bone marrow failure). If in doubt, it is essential to seek the advice of your doctor or pharmacist. Special warnings: This medication is not suitable for the treatment of anemia linked to inflammatory diseases. A medical consultation is necessary before starting this treatment, in order to find the cause of the anemia. Precautions for use: High consumption of tea inhibits iron absorption. A check of the effectiveness is useful after 3 months of treatment, consult your doctor. If in doubt, do not hesitate to seek the advice of your doctor or pharmacist. Drug interactions: In order to avoid possible interactions between several medications, you must systematically report any other current treatment to your doctor or pharmacist, particularly injectable medications containing iron. Pregnancy - breastfeeding: This medicine, under normal conditions of use, can be taken during pregnancy. The use of this medicine is possible in breastfeeding women. Ask your doctor or pharmacist for advice before taking any medicine. Dosage: Curative treatment: - Child over 6 years old: 50 mg of iron per day, or 1 tablet per day. - Adults and children over 12 years old: 100 to 200 mg of iron per day, or 2 to 4 tablets per day. Preventive treatment: - In pregnant women: 1 tablet per day, during the last two trimesters of pregnancy (or from the 4th month). In all cases, follow your doctor's prescription. Method and frequency of administration duration of treatment: Mode of administration: Oral route. Frequency of administration: In order to limit unwanted effects and due to the stimulating effect of vitamin C, it is advisable to take this medication on an empty stomach in the morning or before lunch, but the time of intake and possibly the dosage are to be adapted according to digestive tolerance. Processing time: It must be sufficient to correct anemia and restore iron reserves (around 3 to 6 months). In all cases, follow your doctor's prescription. Adverse effects: possible Like all medicines, TIMOFEROL, capsule is likely to have side effects, although not everyone is subject to them: - Possibility of digestive disorders such as nausea, constipation or diarrhea. - Usual coloring of stools black or gray-black. If you notice any side effects not listed in this leaflet, or if any side effects become serious, please inform your doctor or pharmacist. Composition of the drug: Dried ferrous sulfate ................................................ .................................................. ............. 136 mg Corresponding quantity of iron ......................................... .................................................. .......... 50.00 mg Ascorbic acid ............................................. .................................................. ......................... 30.00 mg For one tablet",[],https://moncoinsante.care/83864-home_default/timoferol-iron-anemia-30-tablets.jpg,France,[],https://moncoinsante.care/en/21933-timoferol-iron-anemia-30-tablets.html,moncoinsante.care,160,,1
